diameter,chiral_angle,mod_type,M11-,M11+,RBM,wl11-,wl11+,index_n,index_m,SDS%
0.83,30.0,0,2.71,,286,457.506,,6,6,
0.77,21.1,0,2.65,3.09,304,467.865,401.243,7,4,
0.96,30.0,0,2.48,,246,499.936,,7,7,
0.73,10.9,0,2.49,3.46,312,497.929,358.336,8,2,
0.9,22.4,0,2.48,2.74,260,499.936,452.497,8,5,
1.1,30.0,0,2.26,,216,548.603,,8,8,
0.86,13.9,0,2.43,2.99,269,510.223,414.663,9,3,
1.04,23.4,0,2.23,2.4,229,555.983,516.601,9,6,
1.24,30.0,0,2.06,,192,601.865,,9,9,
0.84,4.7,0,2.38,3.21,276,520.942,386.244,10,1,
0.99,16.1,0,2.22,2.58,238,558.487,480.559,10,4,
1.17,24.2,0,2.09,2.2,201,593.226,563.565,10,7,
1.38,30.0,0,1.89,,174,656.001,,10,10,
0.96,8.2,0,2.17,2.72,241,571.356,455.824,11,2,
1.13,17.8,0,2.09,2.33,209,593.226,532.121,11,5,
1.31,24.8,0,1.92,2.0,182,645.751,619.921,11,8,
1.51,30.0,0,1.79,,165,692.649,,11,11,
0.95,0.0,0,2.18,2.82,245,568.735,439.66,12,0,
1.09,10.9,0,2.06,2.44,214,601.865,508.132,12,3,
1.26,19.1,0,1.94,2.11,189,639.094,587.603,12,6,
1.45,25.3,0,1.79,1.85,169,692.649,670.185,12,9,
1.65,30.0,0,1.65,,151,751.419,,12,12,
1.07,3.7,0,2.06,2.54,220,601.865,488.127,13,1,
1.22,13.0,0,1.92,2.19,194,645.751,566.138,13,4,
1.4,20.2,0,1.79,1.92,175,692.649,645.751,13,7,
1.79,30.0,0,1.541,,130,804.57,,13,13,
1.2,6.6,0,1.93,2.28,196,642.405,543.79,14,2,
1.35,14.7,0,1.83,2.03,175,677.509,610.76,14,5,
1.53,21.1,0,1.704,,151,727.607,,14,8,
1.72,26.0,0,3.0,1.563,134,413.281,793.245,14,11,
1.19,0.0,0,1.91,2.29,200,649.132,541.416,15,0,
1.33,8.9,0,1.83,2.1,179,677.509,590.401,15,3,
1.49,16.1,0,1.722,,156,720.001,,15,6,
1.67,21.8,0,1.615,,141,767.704,,15,9,
1.86,26.3,0,3.0,1.487,125,413.281,833.787,15,12,
2.06,30.0,0,1.405,,112,882.45,,15,15,
1.31,3.0,0,1.81,2.12,182,684.996,584.831,16,1,
1.46,10.9,0,1.733,,157,715.431,,16,4,
1.62,17.3,0,1.632,,143,759.707,,16,7,
1.8,22.4,0,1.513,,129,819.459,,16,10,
2.2,30.0,0,1.326,,106,935.024,,16,16,
1.44,5.5,0,1.738,1.966,160,713.373,630.642,17,2,
1.59,12.5,0,1.646,,146,753.245,,17,5,
1.76,18.3,0,1.53,,131,810.354,,17,8,
2.13,26.8,0,2.0,1.345,109,619.921,921.816,17,14,
1.43,0.0,0,1.735,,162,714.606,,18,0,
1.72,13.9,0,1.558,,135,795.791,,18,6,
1.55,2.5,0,1.65,,148,751.419,,19,1,
1.69,9.4,0,1.562,,137,793.753,,19,4,
1.85,15.1,0,1.474,,124,841.141,,19,7,
2.03,19.8,0,1.374,,114,902.36,,19,10,
1.67,4.7,0,1.57,,138,789.708,,20,2,
1.82,10.9,0,1.483,,126,836.036,,20,5,
1.98,16.1,0,1.399,,116,886.234,,20,8,
1.67,0.0,0,1.564,,139,792.738,,21,0,
1.8,6.6,0,1.493,,128,830.437,,21,3,
1.95,12.2,0,1.401,,119,884.969,,21,6,
1.79,2.2,0,1.5,1.641,129,826.561,755.541,22,1,
1.93,8.2,0,1.411,,120,878.697,,22,4,
1.91,4.1,0,1.413,,121,877.454,,23,2,
2.21,14.4,0,1.285,,103,964.858,,23,8,
1.91,0.0,0,1.411,1.568,122,878.697,790.716,24,0,
2.18,10.9,0,1.305,,105,950.07,,24,6,
2.03,1.9,0,1.359,1.494,113,912.319,829.881,25,1,
2.16,7.3,0,1.311,,106,945.722,,25,4,
2.15,3.7,0,1.317,1.408,107,941.414,880.57,26,2,
2.29,8.6,0,1.337,,101,927.331,,26,5,
2.14,0.0,0,1.312,1.408,108,945.002,880.57,27,0,
2.26,1.7,0,1.359,,102,912.319,,28,1,
2.62,0.0,0,1.996,2.19,89,621.163,566.138,33,0,
